username,user id,access hash,group,group id
Moonnerro,2131679460,2480969752404046422,Crypto Shiller,1613870380
Daniela_james,1820655299,-2042456826913732044,Crypto Shiller,1613870380
avnish260997,1867887908,-6066918504117790983,Crypto Shiller,1613870380
Kie4a,606897874,-371705135018525264,Crypto Shiller,1613870380
Jcivil48,637347429,-7541579349686857251,Crypto Shiller,1613870380
Revtiuk22,1419369279,-599060964954943300,Crypto Shiller,1613870380
gotomoon2020,2100020212,9032442661550434505,Crypto Shiller,1613870380
Sapofran,1440717996,2336139443782779713,Crypto Shiller,1613870380
Bidyn22,2007814352,389312578914201150,Crypto Shiller,1613870380
PRANAYKUMAWAT19,1122996661,3139443726261919209,Crypto Shiller,1613870380
fewsz,1044549928,-8022744838786723087,Crypto Shiller,1613870380
cryptopunkard,1589405232,3300876550416922859,Crypto Shiller,1613870380
Gogo2112,1628995311,1856593757267078701,Crypto Shiller,1613870380
zeln9816,1763221513,3435612170032901448,Crypto Shiller,1613870380
aakashaanand0083,1303482799,-905738670821970297,Crypto Shiller,1613870380
songfeiyang,1383018852,-907991361734364091,Crypto Shiller,1613870380
Lenny23,872520814,-2727886748976813885,Crypto Shiller,1613870380
Masamunexiii,2135072623,8686444877228016170,Crypto Shiller,1613870380
louisjknowles,990788023,6526250862073794307,Crypto Shiller,1613870380
sisivision,2023062046,173289057257762759,Crypto Shiller,1613870380
nikeboycrypto,1072769354,-676281833542047528,Crypto Shiller,1613870380
angellane,1353575248,-522552877206544801,Crypto Shiller,1613870380
kainpizza,1863972273,-1418248675245855343,Crypto Shiller,1613870380
Snowman456,1742365179,-1863694628762098796,Crypto Shiller,1613870380
gmbasu,153571497,384043602929193360,Crypto Shiller,1613870380
john7780,2097147639,-4071307493505754846,Crypto Shiller,1613870380
JerryTola,1555386537,5695162653008958067,Crypto Shiller,1613870380
cryptanoo,5073850344,296888635501830569,Crypto Shiller,1613870380
ZackSnyder2829,917442365,-5903944375686466145,Crypto Shiller,1613870380
Enesi_Yusuf,1746023261,2057435054627347482,Crypto Shiller,1613870380
billfoldstacked,1715456465,-8879144756966932923,Crypto Shiller,1613870380
Oybekjon222,2077074,-5865654259444496089,Crypto Shiller,1613870380
earlmeds,185428552,-2816268132489997639,Crypto Shiller,1613870380
linaresf,1559465529,-4698722210262807109,Crypto Shiller,1613870380
Yaudahiyah0,1669222165,1578853126186345184,Crypto Shiller,1613870380
vladihell,1765594723,-2435110804844937658,Crypto Shiller,1613870380
aakash_escrow,749915431,1302546808510629818,Crypto Shiller,1613870380
Sandramonic,898245987,3315470497429432345,Crypto Shiller,1613870380
Im_Feeqz,333958025,8284471229100775137,Crypto Shiller,1613870380
Brnstt,2126079615,-8305527808178519687,Crypto Shiller,1613870380
cryptosir2001,862981050,-8407831692007906163,Crypto Shiller,1613870380
